node_ids timestamps population
0 1015.0 Blad_aff_virt
0 1981.0 Blad_aff_virt
0 2998.0 Blad_aff_virt
0 4057.0 Blad_aff_virt
0 5051.0 Blad_aff_virt
0 6065.0 Blad_aff_virt
0 7065.0 Blad_aff_virt
0 8042.0 Blad_aff_virt
0 9014.0 Blad_aff_virt
0 9974.0 Blad_aff_virt
0 11007.0 Blad_aff_virt
0 12009.0 Blad_aff_virt
0 12993.0 Blad_aff_virt
0 13963.0 Blad_aff_virt
0 14993.0 Blad_aff_virt
0 15992.0 Blad_aff_virt
0 16970.0 Blad_aff_virt
0 17923.0 Blad_aff_virt
0 18846.0 Blad_aff_virt
0 19794.0 Blad_aff_virt
0 20782.0 Blad_aff_virt
0 21777.0 Blad_aff_virt
0 22760.0 Blad_aff_virt
0 23774.0 Blad_aff_virt
0 24756.0 Blad_aff_virt
0 25747.0 Blad_aff_virt
0 26781.0 Blad_aff_virt
0 27799.0 Blad_aff_virt
0 28800.0 Blad_aff_virt
0 29822.0 Blad_aff_virt
0 30778.0 Blad_aff_virt
0 31786.0 Blad_aff_virt
0 32833.0 Blad_aff_virt
0 33787.0 Blad_aff_virt
0 34809.0 Blad_aff_virt
0 35872.0 Blad_aff_virt
0 36861.0 Blad_aff_virt
0 37892.0 Blad_aff_virt
0 38905.0 Blad_aff_virt
0 39909.0 Blad_aff_virt
0 40921.0 Blad_aff_virt
0 41896.0 Blad_aff_virt
0 42921.0 Blad_aff_virt
0 43939.0 Blad_aff_virt
0 44958.0 Blad_aff_virt
0 45954.0 Blad_aff_virt
0 46959.0 Blad_aff_virt
0 47967.0 Blad_aff_virt
0 48978.0 Blad_aff_virt
0 59980.0 Blad_aff_virt
1 971.0 Blad_aff_virt
1 1950.0 Blad_aff_virt
1 2985.0 Blad_aff_virt
1 3982.0 Blad_aff_virt
1 4935.0 Blad_aff_virt
1 5919.0 Blad_aff_virt
1 6931.0 Blad_aff_virt
1 7971.0 Blad_aff_virt
1 8927.0 Blad_aff_virt
1 9924.0 Blad_aff_virt
1 10870.0 Blad_aff_virt
1 11861.0 Blad_aff_virt
1 12922.0 Blad_aff_virt
1 13927.0 Blad_aff_virt
1 14927.0 Blad_aff_virt
1 15989.0 Blad_aff_virt
1 16990.0 Blad_aff_virt
1 17940.0 Blad_aff_virt
1 18954.0 Blad_aff_virt
1 19969.0 Blad_aff_virt
1 20940.0 Blad_aff_virt
1 21925.0 Blad_aff_virt
1 22918.0 Blad_aff_virt
1 23947.0 Blad_aff_virt
1 24936.0 Blad_aff_virt
1 25979.0 Blad_aff_virt
1 27012.0 Blad_aff_virt
1 28008.0 Blad_aff_virt
1 28968.0 Blad_aff_virt
1 29952.0 Blad_aff_virt
1 30915.0 Blad_aff_virt
1 31895.0 Blad_aff_virt
1 32884.0 Blad_aff_virt
1 33907.0 Blad_aff_virt
1 34903.0 Blad_aff_virt
1 35850.0 Blad_aff_virt
1 36860.0 Blad_aff_virt
1 37867.0 Blad_aff_virt
1 38873.0 Blad_aff_virt
1 39855.0 Blad_aff_virt
1 40821.0 Blad_aff_virt
1 41799.0 Blad_aff_virt
1 42797.0 Blad_aff_virt
1 43815.0 Blad_aff_virt
1 44821.0 Blad_aff_virt
1 45862.0 Blad_aff_virt
1 46889.0 Blad_aff_virt
1 47876.0 Blad_aff_virt
1 48800.0 Blad_aff_virt
1 49835.0 Blad_aff_virt
2 1032.0 Blad_aff_virt
2 2099.0 Blad_aff_virt
2 3112.0 Blad_aff_virt
2 4116.0 Blad_aff_virt
2 5126.0 Blad_aff_virt
2 6124.0 Blad_aff_virt
2 7102.0 Blad_aff_virt
2 8097.0 Blad_aff_virt
2 9097.0 Blad_aff_virt
2 10068.0 Blad_aff_virt
2 11074.0 Blad_aff_virt
2 12080.0 Blad_aff_virt
2 13066.0 Blad_aff_virt
2 14003.0 Blad_aff_virt
2 15069.0 Blad_aff_virt
2 16054.0 Blad_aff_virt
2 17055.0 Blad_aff_virt
2 18040.0 Blad_aff_virt
2 19056.0 Blad_aff_virt
2 20114.0 Blad_aff_virt
2 21083.0 Blad_aff_virt
2 22083.0 Blad_aff_virt
2 23048.0 Blad_aff_virt
2 24057.0 Blad_aff_virt
2 25138.0 Blad_aff_virt
2 26120.0 Blad_aff_virt
2 27086.0 Blad_aff_virt
2 28089.0 Blad_aff_virt
2 29126.0 Blad_aff_virt
2 30132.0 Blad_aff_virt
2 31129.0 Blad_aff_virt
2 32101.0 Blad_aff_virt
2 33096.0 Blad_aff_virt
2 34064.0 Blad_aff_virt
2 35085.0 Blad_aff_virt
2 36072.0 Blad_aff_virt
2 37082.0 Blad_aff_virt
2 38084.0 Blad_aff_virt
2 39074.0 Blad_aff_virt
2 40031.0 Blad_aff_virt
2 41091.0 Blad_aff_virt
2 42108.0 Blad_aff_virt
2 43182.0 Blad_aff_virt
2 44215.0 Blad_aff_virt
2 45199.0 Blad_aff_virt
2 46218.0 Blad_aff_virt
2 47210.0 Blad_aff_virt
2 48175.0 Blad_aff_virt
2 49139.0 Blad_aff_virt
2 59924.0 Blad_aff_virt
3 951.0 Blad_aff_virt
3 1970.0 Blad_aff_virt
3 2959.0 Blad_aff_virt
3 3944.0 Blad_aff_virt
3 4937.0 Blad_aff_virt
3 5932.0 Blad_aff_virt
3 6891.0 Blad_aff_virt
3 7886.0 Blad_aff_virt
3 8911.0 Blad_aff_virt
3 9913.0 Blad_aff_virt
3 10928.0 Blad_aff_virt
3 11969.0 Blad_aff_virt
3 12951.0 Blad_aff_virt
3 13923.0 Blad_aff_virt
3 14991.0 Blad_aff_virt
3 16016.0 Blad_aff_virt
3 16967.0 Blad_aff_virt
3 17964.0 Blad_aff_virt
3 18991.0 Blad_aff_virt
3 19997.0 Blad_aff_virt
3 21040.0 Blad_aff_virt
3 21999.0 Blad_aff_virt
3 23033.0 Blad_aff_virt
3 24073.0 Blad_aff_virt
3 25046.0 Blad_aff_virt
3 26019.0 Blad_aff_virt
3 26997.0 Blad_aff_virt
3 28044.0 Blad_aff_virt
3 29024.0 Blad_aff_virt
3 30048.0 Blad_aff_virt
3 31009.0 Blad_aff_virt
3 32047.0 Blad_aff_virt
3 33038.0 Blad_aff_virt
3 34050.0 Blad_aff_virt
3 35043.0 Blad_aff_virt
3 36042.0 Blad_aff_virt
3 37090.0 Blad_aff_virt
3 37981.0 Blad_aff_virt
3 39003.0 Blad_aff_virt
3 39984.0 Blad_aff_virt
3 41030.0 Blad_aff_virt
3 42014.0 Blad_aff_virt
3 43018.0 Blad_aff_virt
3 44045.0 Blad_aff_virt
3 45002.0 Blad_aff_virt
3 45977.0 Blad_aff_virt
3 47008.0 Blad_aff_virt
3 47998.0 Blad_aff_virt
3 49038.0 Blad_aff_virt
4 981.0 Blad_aff_virt
4 2027.0 Blad_aff_virt
4 3064.0 Blad_aff_virt
4 3994.0 Blad_aff_virt
4 5031.0 Blad_aff_virt
4 6057.0 Blad_aff_virt
4 7042.0 Blad_aff_virt
4 8053.0 Blad_aff_virt
4 9025.0 Blad_aff_virt
4 10057.0 Blad_aff_virt
4 11076.0 Blad_aff_virt
4 12097.0 Blad_aff_virt
4 13080.0 Blad_aff_virt
4 14080.0 Blad_aff_virt
4 15092.0 Blad_aff_virt
4 16105.0 Blad_aff_virt
4 17071.0 Blad_aff_virt
4 18004.0 Blad_aff_virt
4 18982.0 Blad_aff_virt
4 19976.0 Blad_aff_virt
4 20948.0 Blad_aff_virt
4 21951.0 Blad_aff_virt
4 22929.0 Blad_aff_virt
4 23914.0 Blad_aff_virt
4 24914.0 Blad_aff_virt
4 25944.0 Blad_aff_virt
4 26955.0 Blad_aff_virt
4 27978.0 Blad_aff_virt
4 29053.0 Blad_aff_virt
4 29982.0 Blad_aff_virt
4 31017.0 Blad_aff_virt
4 31986.0 Blad_aff_virt
4 32953.0 Blad_aff_virt
4 33978.0 Blad_aff_virt
4 34982.0 Blad_aff_virt
4 36061.0 Blad_aff_virt
4 37035.0 Blad_aff_virt
4 37970.0 Blad_aff_virt
4 39007.0 Blad_aff_virt
4 39988.0 Blad_aff_virt
4 40964.0 Blad_aff_virt
4 41990.0 Blad_aff_virt
4 43022.0 Blad_aff_virt
4 44045.0 Blad_aff_virt
4 45030.0 Blad_aff_virt
4 46058.0 Blad_aff_virt
4 47046.0 Blad_aff_virt
4 48043.0 Blad_aff_virt
4 49060.0 Blad_aff_virt
5 999.0 Blad_aff_virt
5 1982.0 Blad_aff_virt
5 3004.0 Blad_aff_virt
5 4008.0 Blad_aff_virt
5 5027.0 Blad_aff_virt
5 5980.0 Blad_aff_virt
5 7003.0 Blad_aff_virt
5 8001.0 Blad_aff_virt
5 9009.0 Blad_aff_virt
5 9943.0 Blad_aff_virt
5 10990.0 Blad_aff_virt
5 11932.0 Blad_aff_virt
5 12952.0 Blad_aff_virt
5 13932.0 Blad_aff_virt
5 14911.0 Blad_aff_virt
5 15978.0 Blad_aff_virt
5 17004.0 Blad_aff_virt
5 18026.0 Blad_aff_virt
5 19023.0 Blad_aff_virt
5 19969.0 Blad_aff_virt
5 20991.0 Blad_aff_virt
5 21989.0 Blad_aff_virt
5 23040.0 Blad_aff_virt
5 24054.0 Blad_aff_virt
5 25113.0 Blad_aff_virt
5 26072.0 Blad_aff_virt
5 27093.0 Blad_aff_virt
5 28106.0 Blad_aff_virt
5 29092.0 Blad_aff_virt
5 30079.0 Blad_aff_virt
5 31105.0 Blad_aff_virt
5 32084.0 Blad_aff_virt
5 33041.0 Blad_aff_virt
5 34059.0 Blad_aff_virt
5 35052.0 Blad_aff_virt
5 36065.0 Blad_aff_virt
5 37069.0 Blad_aff_virt
5 38095.0 Blad_aff_virt
5 39035.0 Blad_aff_virt
5 40061.0 Blad_aff_virt
5 41047.0 Blad_aff_virt
5 42101.0 Blad_aff_virt
5 43069.0 Blad_aff_virt
5 44105.0 Blad_aff_virt
5 45131.0 Blad_aff_virt
